PERMIT_NUMBER,PERMIT_TYPE,PERMIT_STATUS,CONTRACTOR,CATEGORY_NAME,WORK_TYPE,ZONING,SQFT,PERMIT_FEE,PROJECT_COSTS,ADDRESS,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,DISTRICT,NEIGHBORHOOD,ISSUE_DATE,ObjectId,x,y
14BL1477,Residential New,Issued,HOWELL CONSTRUCTION,,,R5,574,63.14,13000,2517 GARDINER LN,LOUISVILLE,KY,40205-0000,38.21578881,-85.66514333,26,HAWTHORNE,2/24/2014 5:00:00 AM,1,-9536200.1342284,4609954.54413708
14BL1478,Residential Alteration,Issued, ,,,R4,1134,85.05,5000,6315 LABOR LN,LOUISVILLE,KY,40291-0000,38.15439619,-85.60772374,23,,2/24/2014 5:00:00 AM,2,-9529808.21470804,4601259.83491546
14BL1482,Residential Alteration,Issued,THIENEMAN SEITZ CONSTRUCTION,,,R4,255,550,4000,11102 LITTLE ROCK CT,LOUISVILLE,KY,40241-0000,38.32135673,-85.54247085,16,,2/24/2014 5:00:00 AM,3,-9522544.29622045,4624922.73703735
14BL1486,Commercial Alteration,Issued,MAINTENANCE AFFILIATES GROUP LLC,,,EZ1,400,50,38300,1000 GLENGARRY DR,LOUISVILLE,KY,40118-0000,38.12346371,-85.74508516,13,,2/27/2014 5:00:00 AM,4,-9545099.21803708,4596881.80598364
14BL1491,Residential New,Issued,ELITE HOMES INC,,,R4,3839,2287.92,221668.6,1320 KENNESAW CREEK WAY,LOUISVILLE,KY,40023-0000,38.21018227,-85.4367184,19,,2/25/2014 5:00:00 AM,5,-9510771.98733631,4609160.21564025
14BL1496,PoolSpa Residential,Issued,WETSCAPES,,,R4,371.25,50,33000,10116 TROTTER TRCE,LOUISVILLE,KY,40228-0000,38.11037492,-85.61487079,23,,2/25/2014 5:00:00 AM,6,-9530603.82067471,4595029.84246337
14BL1500,Residential Alteration,Issued,BRADLEY HOMES INC,,,R3,168,50,20000,501 ROLLING LN,ROLLING FIELDS,KY,40207-0000,38.26844409,-85.67045212,7,,2/26/2014 5:00:00 AM,7,-9536791.10602792,4617417.67591053
14BL1502,Residential Alteration,Issued,HUNTER & ASSOCIATES CONST CO I,,,R4,286,50,16263.88,5206 COOL BROOK RD,LOUISVILLE,KY,40291-0000,38.17142266,-85.59988254,22,,2/27/2014 5:00:00 AM,8,-9528935.33631683,4603670.46890545
14BL1510,Residential New,Issued, ,,,R5A,2677,348.01,125000,9905 VISTA SPRINGS WAY,LOUISVILLE,KY,40291-0000,38.09722464,-85.56630702,20,,2/26/2014 5:00:00 AM,9,-9525197.72652731,4593169.51274177
14BL1522,Residential Alteration,Issued,"LOUISVILLE HANDYMAN, INC.",,,R4,210,50,30000,7215 FOX HARBOR RD,PROSPECT,KY,40059-0000,38.339703,-85.61062952,16,,2/26/2014 5:00:00 AM,10,-9530131.68465799,4627526.22717291
14BL1526,Residential Addition,Issued,BUENA VISTA CONSTRUCTION,,,R5,330,50,7500,3025 ELEANOR AVE,LOUISVILLE,KY,40205-0000,38.21207346,-85.67548903,8,GARDINER LANE,2/27/2014 5:00:00 AM,11,-9537351.81228429,4609428.1505457
14BL1533,Commercial Alteration,Issued, ,,,(C2),100,50,2000,2010 HIGHLAND AVE,LOUISVILLE,KY,40204-0000,38.24049478,-85.72355907,8,CHEROKEE TRIANGLE,2/27/2014 5:00:00 AM,12,-9542702.94465951,4613455.58843263
14BL1535,PoolSpa Residential,Issued,CLEARWATER FIBERGLASS POOLS,,,R4,460,50.6,28527.42,4905 SPRING FARM RD,LOUISVILLE,KY,40059-0000,38.31932616,-85.59392618,16,,2/27/2014 5:00:00 AM,13,-9528272.27735465,4624634.62256668
14BL1538,Residential New,Issued,PRECISION BUILT HOMES INC,,,R4,1949,146.18,110000,614 CHIEFTAIN DR,LOUISVILLE,KY,40118-0000,38.0967368,-85.75499154,13,,3/3/2014 5:00:00 AM,14,-9546201.99121428,4593100.50595575
14BL1539,Commercial Addition,Issued,ENGLISH CONSTRUCTION INC,,,EZ1,2362,283.44,60000,3801 SHANKS LN,LOUISVILLE,KY,40216-0000,38.19829667,-85.84746932,1,,2/28/2014 5:00:00 AM,15,-9556496.57059358,4607476.47906667
14BL1542,Residential Alteration,Issued, ,,,R5A,2326,174.45,15000,1713 PAYNE ST,LOUISVILLE,KY,40206-0000,38.25263107,-85.71662774,9,CLIFTON,2/28/2014 5:00:00 AM,16,-9541931.35253339,4615175.83880619
14BL1545,Residential Addition,Issued, ,,,R4,1200,90,4000,4203 SUNNY CROSSING DR,LOUISVILLE,KY,40299-0000,38.18590381,-85.60019974,11,,2/28/2014 5:00:00 AM,17,-9528970.64685931,4605721.17573947
14BL1547,Commercial Alteration,Issued, ,,,OTF,1400,182,18000,"10629 HENNING WAY, 4",LOUISVILLE,KY,40241-0000,38.30229419,-85.5525758,17,,2/28/2014 5:00:00 AM,18,-9523669.17410894,4622218.30002879
14BL1556,Residential Alteration,Issued,BROOKSHIRE BUILDERS LLC,,,R4,1000,75,5000,6807 BROOK TERRACE DR,LOUISVILLE,KY,40228-0000,38.15080975,-85.64032944,23,,3/12/2014 4:00:00 AM,19,-9533437.86462899,4600752.13295301
14BL1561,Residential New,Issued,SUPERIOR BUILDERS INC,,,PRD,1660,715.8,92500,10611 GLENMARY SPRINGS DR,LOUISVILLE,KY,40291-0000,38.12623473,-85.57860725,22,,3/4/2014 5:00:00 AM,20,-9526566.98186755,4597273.92666811
14BL1562,Residential Alteration,Issued, ,,,R6,1500,50,40000,1012 ROGERS ST,LOUISVILLE,KY,40204-0000,38.24469472,-85.72926967,4,PHOENIX HILL,3/3/2014 5:00:00 AM,21,-9543338.64574363,4614050.87364288
14BL1573,Residential Alteration,Issued,HUNTER & ASSOCIATES CONST CO I,,,R4,364,50,66500,3307 TEAKWOOD CIR,LOUISVILLE,KY,40216-0000,38.18781539,-85.85279701,1,,3/4/2014 5:00:00 AM,22,-9557089.64633148,4605991.90915436
14BL1575,Residential Addition,Issued,DESIGNER BUILDERS INC,,,R5,440,50,150000,4028 ALTON RD,ST MATTHEWS,KY,40207-0000,38.24118087,-85.6408026,26,,3/4/2014 5:00:00 AM,23,-9533490.53655926,4613552.83014556
14BL1579,Commercial Alteration,Issued,SELECT HOMES LLC,,,(C3),1601,62.5,15000,821 W BROADWAY,LOUISVILLE,KY,40202-0000,38.24701352,-85.76596401,4,CENTRAL BUSINESS DISTRICT,4/17/2014 4:00:00 AM,24,-9547423.44098743,4614379.54720405
14BL1582,Residential Alteration,Issued, ,,,R5,463,50,2000,9800 SPRING POINTE CT,LOUISVILLE,KY,40229-0000,38.10357227,-85.64365843,23,,3/10/2014 4:00:00 AM,25,-9533808.44610065,4594067.45065732
14BL1584,Residential Addition,Issued,JASON ORTHOBER BUILDER LLC,,,R4,1810,135.75,19000,4907 SPRING FARM RD,LOUISVILLE,KY,40059-0000,38.31925233,-85.59418349,16,,3/12/2014 4:00:00 AM,26,-9528300.92097282,4624624.14709298
14BL1585,Residential Addition,Issued,DISTINCTIVE DESIGN REMODELING,,,R4,280,50,15000,3507 SASSE WAY,LOUISVILLE,KY,40245-0000,38.2823001,-85.47574516,19,,3/7/2014 5:00:00 AM,27,-9515116.42638682,4619382.46582694
14BL1586,Residential Addition,Issued,DISTINCTIVE DESIGN REMODELING,,,R4,216,50,28000,9904 WYNCLIFF CT,LOUISVILLE,KY,40241-0000,38.29206022,-85.56753318,17,,3/7/2014 5:00:00 AM,28,-9525334.22203414,4620766.68138682
14BL1587,PoolSpa Residential,Issued,GYM & SWIM SUPPLY COMPANY,,,R4,984,108.24,140000,1100 FOREST TRAIL PL,LOUISVILLE,KY,40245-0000,38.24808882,-85.41675174,19,,3/26/2014 4:00:00 AM,29,-9508549.30891226,4614531.96696072
14BL1588,PoolSpa Residential,Issued,GYM & SWIM SUPPLY COMPANY,,,R4,500,55,40000,4011 WHITEBLOSSOM ESTATES CT,LOUISVILLE,KY,40241-0000,38.30077001,-85.57089445,17,,3/27/2014 4:00:00 AM,30,-9525708.39689896,4622002.09254456
14BL1591,Residential Addition,Issued,REDSMITH CONSTRUCTION,,,R5,560,50,10000,2519 HAWTHORNE AVE,LOUISVILLE,KY,40205-0000,38.22128773,-85.66856066,8,HAWTHORNE,3/5/2014 5:00:00 AM,31,-9536580.54966387,4610733.68460042
14BL1592,Residential Alteration,Issued,BRYAN SMITH CONSTRUCTION INC,,,R4,960,72,40000,9929 DONERAIL WAY,LOUISVILLE,KY,40272-0000,38.11042536,-85.87107581,14,,3/5/2014 5:00:00 AM,32,-9559124.43303979,4595036.97869994
14BL1593,Residential Addition,Issued,MASTERCRAFT HOMES,,,R4,1454,109.05,10000,5513 MERRIBROOK LN,LOUISVILLE,KY,40059-0000,38.32422671,-85.5743406,16,,3/5/2014 5:00:00 AM,33,-9526092.02056216,4625329.96787297
14BL1594,Residential Alteration,Issued, ,,,R4,950,71.25,4000,3215 S WINCHESTER ACRES RD,LOUISVILLE,KY,40223-0000,38.28575667,-85.52916886,17,,3/5/2014 5:00:00 AM,34,-9521063.52546711,4619872.66781395
14BL1599,Residential New,Issued,PARAGON HOMES INC,,,PVD,2769,207.68,280000,9516 HORSEMINT LN,LOUISVILLE,KY,40059-0000,38.32525652,-85.56294466,16,,3/5/2014 5:00:00 AM,35,-9524823.43032425,4625476.09490797
14BL1612,Residential Alteration,Issued, ,,,R5,1100,82.5,25000,1016 SYLVIA ST,LOUISVILLE,KY,40217-0000,38.22229058,-85.7408189,10,SCHNITZELBURG,3/6/2014 5:00:00 AM,36,-9544624.30014629,4610875.78449022
14BL1620,Residential Addition,Issued,HOME MAKEOVER,,,R4,276,50,6000,6312 YELLOW PINE DR,LOUISVILLE,KY,40229-0000,38.10683734,-85.64245415,23,,3/10/2014 4:00:00 AM,37,-9533674.38626428,4594529.35896261
14BL1621,Residential New,Issued, ,,,OR2,512,135,18000,413 MARRET AVE,LOUISVILLE,KY,40208-0000,38.23006617,-85.74939029,4,SHELBY PARK,3/6/2014 5:00:00 AM,38,-9545578.46291648,4611977.62140594
14BL1627,Residential Alteration,Issued,HUNTER & ASSOCIATES CONST CO I,,,R5,347,50,9296,9516 WOOD HOLLOW RD,LOUISVILLE,KY,40229-0000,38.10938669,-85.66691322,24,,3/10/2014 4:00:00 AM,39,-9536397.15748196,4594890.02896362
14BL1632,Residential Addition,Issued, ,,,TNZD,685,89.05,4200,"1630 S 2ND ST, 102",LOUISVILLE,KY,40208-0000,38.22366741,-85.75955712,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,40,-9546710.22925506,4611070.87906177
14BL1636,Commercial Alteration,Issued, ,,,R5,1000,50,3000,2319 LONGEST AVE,LOUISVILLE,KY,40204-0000,38.23816353,-85.7106224,8,CHEROKEE TRIANGLE,3/7/2014 5:00:00 AM,41,-9541262.84114255,4613125.17982837
14BL1637,Residential Addition,Issued,CWR LLC,,,R6,30,50,3000,5408 INDIAN WOODS DR,LOUISVILLE,KY,40207-0000,38.26824329,-85.65412976,7,,3/7/2014 5:00:00 AM,42,-9534974.10922418,4617389.20511467
14BL1639,Residential Alteration,Issued,WHITTENBERG CONSTRUCTION CO,,,R7,187,50,24452,"5220 INDIAN WOODS DR, 301",LOUISVILLE,KY,40207-0000,38.26769643,-85.65646225,7,,3/10/2014 4:00:00 AM,43,-9535233.76082326,4617311.6679668
14BL1640,Residential Addition,Issued, ,,,TNZD,685,89.05,4200,"1630 S 2ND ST, 104",LOUISVILLE,KY,40208-0000,38.2236696,-85.75938701,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,44,-9546691.29269648,4611071.18938415
14BL1641,Commercial Alteration,Issued, ,,,EZ1,525,68.25,72000,1501 S BROOK ST,LOUISVILLE,KY,40208-0000,38.22510287,-85.75499966,6,OLD LOUISVILLE,3/14/2014 4:00:00 AM,45,-9546202.89512855,4611274.28534055
14BL1642,Residential Addition,Issued, ,,,TNZD,1369,177.97,8400,"1630 S 2ND ST, 110",LOUISVILLE,KY,40208-0000,38.2236036,-85.75930078,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,46,-9546681.69361679,4611061.83720696
14BL1644,Residential Addition,Issued, ,,,TNZD,1369,177.97,8400,"1630 S 2ND ST, 112",LOUISVILLE,KY,40208-0000,38.22353313,-85.75955433,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,47,-9546709.91867368,4611051.85164168
14BL1646,Residential Addition,Issued, ,,,TNZD,685,89.05,4200,"1630 S 2ND ST, 114",LOUISVILLE,KY,40208-0000,38.22353533,-85.75938422,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,48,-9546690.9821151,4611052.16338049
14BL1647,Residential Addition,Issued, ,,,TNZD,685,89.05,4200,"1630 S 2ND ST, 116",LOUISVILLE,KY,40208-0000,38.22353752,-85.75921412,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,49,-9546672.04666972,4611052.4737023
14BL1648,Residential Addition,Issued, ,,,TNZD,685,89.05,4200,"1630 S 2ND ST, 118",LOUISVILLE,KY,40208-0000,38.22346713,-85.7594681,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,50,-9546700.31959399,4611042.49948204
14BL1650,Residential Addition,Issued, ,,,TNZD,685,89.05,4200,"1630 S 2ND ST, 120",LOUISVILLE,KY,40208-0000,38.22346933,-85.75929799,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,51,-9546681.38303541,4611042.81122056
14BL1651,Residential Addition,Issued, ,,,TNZD,1369,177.97,8400,"1630 S 2ND ST, 122",LOUISVILLE,KY,40208-0000,38.22339893,-85.75955154,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,52,-9546709.6080923,4611032.83559266
14BL1652,Residential Addition,Issued, ,,,TNZD,1369,177.97,8400,"1630 S 2ND ST, 124",LOUISVILLE,KY,40208-0000,38.22340113,-85.75938144,6,OLD LOUISVILLE,3/7/2014 5:00:00 AM,53,-9546690.67264692,4611033.14733089
14BL1655,Residential Alteration,Issued, ,,,R4,30,50,100,4511 WOLFCREEK PKY,LOUISVILLE,KY,40241-0000,38.31350914,-85.60523712,16,,3/10/2014 4:00:00 AM,54,-9529531.40543584,4623809.29916587
14BL1662,Residential Alteration,Issued,"MICHAEL R EFFINGER, LLC",,,R5A,1360,176.8,20000,14433 CRESCENT COVE DR,LOUISVILLE,KY,40299-0000,38.22513648,-85.49251316,20,,3/11/2014 4:00:00 AM,55,-9516983.03160844,4611279.04796303
14BL1664,Residential Alteration,Issued,JOB PRO SERVICES,,,R4,268,50,30000,406 SPRINGWOOD LN,ST MATTHEWS,KY,40207-0000,38.26397901,-85.64701629,7,,3/14/2014 4:00:00 AM,56,-9534182.24136601,4616784.60494606
14BL1665,Residential Addition,Issued,MONSOUR BUILDERS INC,,,R4,1390,104.25,40000,18029 BRIGHTLEAF PL,LOUISVILLE,KY,40023-0000,38.23206753,-85.42788185,19,,3/10/2014 4:00:00 AM,57,-9509788.30708994,4612261.24239664
14BL1669,Commercial Alteration,Issued,DIAL ONE - PLEASURE VALLEY,,,C2,3467,485.38,110000,4322 POPLAR LEVEL RD,LOUISVILLE,KY,40213-0000,38.19339126,-85.70729585,10,REMAINDER OF CITY,4/29/2014 4:00:00 AM,58,-9540892.53129045,4606781.64953499
14BL1673,Residential Alteration,Issued, ,,,R4,242,50,4000,6106 SIX MILE LN,LOUISVILLE,KY,40218-0000,38.19848344,-85.64410645,10,,3/11/2014 4:00:00 AM,59,-9533858.31945892,4607502.93513236
14BL1674,Residential Alteration,Issued,PAUL DAVIS SYSTEMS OF LOUISVIL,,,R5,380,50,35000,9010 JOHN PAUL CT,LOUISVILLE,KY,40229-0000,38.11818112,-85.63619055,23,,3/10/2014 4:00:00 AM,60,-9532977.12550174,4596134.32001562
14BL1676,Residential Alteration,Issued,PAUL DAVIS SYSTEMS OF LOUISVIL,,,R5,900,67.5,43500,4618 GRANDVIEW DR,SHIVELY,KY,40216-0000,38.17741563,-85.82643027,3,,3/11/2014 4:00:00 AM,61,-9554154.5142608,4604519.09686145
14BL1679,Commercial Alteration,Issued,UP-RITE SYSTEMS INC,,,EZ1,37303,150,50000,"7201 INTERMODAL DR, A",LOUISVILLE,KY,40258-0000,38.15913255,-85.88881985,12,,3/25/2014 4:00:00 AM,62,-9561099.69053721,4601930.35958184
14BL1680,Residential Alteration,Issued, ,,,R6,312,50,8000,654 S 23RD ST,LOUISVILLE,KY,40211-0000,38.25029891,-85.78989776,6,RUSSELL,3/11/2014 4:00:00 AM,63,-9550087.7338502,4614845.24603949
14BL1683,Residential Addition,Issued,LEO THIENEMAN & SONS LLC,,,R4,199,50,75000,7914 ALBRECHT CIR,LOUISVILLE,KY,40241-0000,38.3166524,-85.598404,16,,3/11/2014 4:00:00 AM,64,-9528770.74599691,4624255.2591592
14BL1685,Residential Addition,Issued, ,,,R5,610,50,40000,3923 GRANDVIEW AVE,LOUISVILLE,KY,40207-0000,38.24942711,-85.65095031,9,ROCKCREEK LEXINGTON ROAD,3/11/2014 4:00:00 AM,65,-9534620.17446918,4614721.66771673
14BL1688,Tent,Issued, ,,,OR3,,150,,982 EASTERN PKY,LOUISVILLE,KY,40217-0000,38.21925448,-85.73347438,10,SCHNITZELBURG,6/19/2014 4:00:00 AM,66,-9543806.71191977,4610445.58710575
14BL1689,Commercial Addition,Issued, ,,,CM,1136,147.68,2100,1433 S SHELBY ST,LOUISVILLE,KY,40217-0000,38.22631312,-85.74143281,10,SCHNITZELBURG,3/11/2014 4:00:00 AM,67,-9544692.64029488,4611445.78223045
14BL1693,Commercial Alteration,Issued, ,,,C2,980,127.4,30000,4000 DUTCHMANS LN,ST MATTHEWS,KY,40207-0000,38.23341508,-85.63465389,26,,3/12/2014 4:00:00 AM,68,-9532806.06529302,4612452.21366903
14BL1700,Residential Addition,Issued,REDSMITH CONSTRUCTION,,,R5,48,50,1000,2401 HAWTHORNE AVE,LOUISVILLE,KY,40205-0000,38.22014353,-85.670728,8,HAWTHORNE,3/12/2014 4:00:00 AM,69,-9536821.81684904,4610571.55836537
14BL1705,Residential Alteration,Issued,ELLIS RESTORATION & REMODELING,,,R6,1122,84.15,52000,9005 HURSTWOOD CT,HURSTBOURNE,KY,40222-0000,38.2284978,-85.58618823,18,,3/12/2014 4:00:00 AM,70,-9527410.89270086,4611755.36667062
14BL1707,PoolSpa Residential,Issued,SUNTIME POOLS WEST,,,R4,648,71.28,38900,4311 WOODED BEND WAY,LOUISVILLE,KY,40245-0000,38.29974699,-85.50038468,17,,3/12/2014 4:00:00 AM,71,-9517859.28520661,4621856.97799279
14BL1708,Residential Alteration,Issued, ,,,R5,500,50,5500,4213 WINCHESTER RD,ST MATTHEWS,KY,40207-0000,38.24675531,-85.64136337,9,,3/12/2014 4:00:00 AM,72,-9533552.96119011,4614342.9472372
14BL1710,Commercial Addition,Issued,CHEMSTRESS CONSTRUCTION CO,,,M3,480,52.8,111000,4200 BELLS LN,LOUISVILLE,KY,40211-0000,38.22248176,-85.82938512,1,,3/17/2014 4:00:00 AM,73,-9554483.44665817,4610902.87416451
14BL1714,PoolSpa Residential,Issued,SUNTIME POOLS WEST,,,R4,648,71.28,38500,141 N BELLAIRE AVE,LOUISVILLE,KY,40206-0000,38.25606684,-85.70887806,9,CLIFTON,3/13/2014 4:00:00 AM,74,-9541068.66210198,4615662.89191864
14BL1718,Residential New,Issued,COMMONWEALTH DESIGNS,,,R5A,2700,1202.5,140000,18024 ELLERSLIE DR,LOUISVILLE,KY,40245-0000,38.26549325,-85.43056868,19,,3/12/2014 4:00:00 AM,75,-9510087.40363738,4616999.29357555
14BL1722,Residential Alteration,Issued, ,,,R5,1330,99.75,7500,515 WINYAN LN,LOUISVILLE,KY,40223-0000,38.25373089,-85.5716588,18,,3/13/2014 4:00:00 AM,76,-9525793.48395175,4615331.74625765
14BL1723,Commercial Addition,Issued, ,,,M2,3230,419.9,65000,1400 HUGH AVE,LOUISVILLE,KY,40213-0000,38.19078287,-85.70311346,10,,3/13/2014 4:00:00 AM,77,-9540426.94976535,4606412.20174019
14BL1725,Residential Addition,Issued,KRAEMER CONSTRUCTION CO,,,R5,480,50,20000,10502 PEBBLESTONE CIR,LOUISVILLE,KY,40229-0000,38.09622542,-85.68971108,24,,4/10/2014 4:00:00 AM,78,-9538935.00364833,4593028.16984353
14BL1731,Residential Alteration,Issued,MOYER CONSTRUCTION CO LLC,,,R4,490,50,8000,9103 TIVERTON WAY,WESTWOOD,KY,40242-0000,38.27744708,-85.58478976,7,,3/13/2014 4:00:00 AM,79,-9527255.21573257,4618694.26223211
14BL1743,Residential New,Issued,"J & L CONSTRUCTION, INC",,,R7,1346,100.95,80000,"11311 FRENCHRONE DR, 101",LOUISVILLE,KY,40272-0000,38.09196505,-85.88148202,14,,3/13/2014 4:00:00 AM,80,-9560282.84703808,4592425.54842285
14BL1744,Residential New,Issued,"J & L CONSTRUCTION, INC",,,R7,1346,100.95,80000,"11311 FRENCHRONE DR, 101",LOUISVILLE,KY,40272-0000,38.09196505,-85.88148202,14,,3/13/2014 4:00:00 AM,81,-9560282.84703808,4592425.54842285
14BL1745,Residential New,Issued,"J & L CONSTRUCTION, INC",,,R7,1346,100.95,80000,"11313 FRENCHRONE DR, 101",LOUISVILLE,KY,40272-0000,38.09175826,-85.88154277,14,,3/13/2014 4:00:00 AM,82,-9560289.60969715,4592396.29925542
14BL1746,Residential New,Issued,"J & L CONSTRUCTION, INC",,,R7,1346,100.95,80000,"11313 FRENCHRONE DR, 101",LOUISVILLE,KY,40272-0000,38.09175826,-85.88154277,14,,3/13/2014 4:00:00 AM,83,-9560289.60969715,4592396.29925542
14BL1748,Residential Addition,Issued,BRADFORD T NEWHALL CONSTRUCTIO,,,R5,320,50,60000,215 PLEASANTVIEW AVE,LOUISVILLE,KY,40206-0000,38.25156909,-85.68437765,9,CRESCENT HILL,3/14/2014 4:00:00 AM,84,-9538341.28893655,4615025.29768792
14BL1751,Residential Addition,Issued,NEW DEVELOPMENT REMODELING,,,R5B,480,50,80000,1114 CHEROKEE RD,LOUISVILLE,KY,40204-0000,38.23858722,-85.7191007,8,CHEROKEE TRIANGLE,3/14/2014 4:00:00 AM,85,-9542206.64118134,4613185.2287228
14BL1753,Commercial Alteration,Issued,TRADE WORKS LLC,,,C1,702,91.26,25000,3017 RIVER RD,LOUISVILLE,KY,40207-0000,38.27863686,-85.69784205,7,,4/17/2014 4:00:00 AM,86,-9539840.13908839,4618862.97989991
14BL1755,Residential Addition,Issued, ,,,PVD,950,71.25,20000,9303 BERGAMOT DR,LOUISVILLE,KY,40059-0000,38.32660436,-85.56933951,16,,3/14/2014 4:00:00 AM,87,-9525535.30176995,4625667.35260913
14BL1757,Residential Addition,Issued,CIMARRON CONSTRUCTION CO INC,,,R4,588,150,30000,10900 ROCK VALLEY CT,LOUISVILLE,KY,40241-0000,38.31898077,-85.54477482,16,,3/20/2014 4:00:00 AM,88,-9522800.77298765,4624585.61651106
14BL1761,Residential Addition,Issued, ,,,R5B,198,50,10000,"922 CHEROKEE RD, 1",LOUISVILLE,KY,40204-0000,38.24251139,-85.72455761,8,CHEROKEE TRIANGLE,3/14/2014 4:00:00 AM,89,-9542814.10162385,4613741.41158283
